"","smp_id","ow_suffix","event_uid","gage_uid","eventduration_hr","eventpeakintensity_inhr","eventavgintensity_inhr","eventdepth_in","eventdatastart_est","eventdataend_est","peak_level_ft","overtop","draindown_hr","rpsu"
"1","411-1-1","CS1",77,7,6,1.36,0.1033,0.62,"2021-05-26 21:15:00","2021-05-27 03:00:00",4.426,"TRUE",-810,0
"2","411-1-1","CS1",78,7,23,0.44,0.0813,1.87,"2021-05-28 18:30:00","2021-05-29 17:15:00",2.3432,"FALSE",5.25,41.1979
"3","411-1-1","CS1",79,7,11,0.08,0.03,0.33,"2021-05-30 08:00:00","2021-05-30 18:45:00",1.2815,"FALSE",2.75,7.9337
"4","411-1-1","CS1",80,7,6,0.756,0.13,0.78,"2021-06-03 21:00:00","2021-06-04 02:45:00",1.2599,"FALSE",1.5,22.3619
"5","411-1-1","CS1",81,7,1,0.988,0.395,0.395,"2021-06-04 18:45:00","2021-06-04 19:30:00",0.3468,"FALSE",-810,0
"6","411-1-1","CS1",82,7,9.25,0.184,0.0357,0.33,"2021-06-08 17:00:00","2021-06-09 02:00:00",1.6077,"FALSE",-810,1.444
"7","411-1-1","CS1",83,7,5.75,0.072,0.02,0.115,"2021-06-11 13:30:00","2021-06-11 19:00:00",1.1014,"FALSE",2.75,18.9529
"8","411-1-1","CS1",84,7,7.25,2.144,0.1527,1.107,"2021-06-14 23:45:00","2021-06-15 06:45:00",3.8305,"FALSE",-810,0
"9","411-1-1","CS1",85,7,1.25,0.412,0.152,0.19,"2021-06-19 19:15:00","2021-06-19 20:15:00",0.4018,"FALSE",-810,0
"10","411-1-1","CS1",86,7,5,0.176,0.0364,0.182,"2021-06-21 23:00:00","2021-06-22 03:45:00",0.8544,"FALSE",2.25,11.3105
"11","411-1-1","CS1",87,7,4.75,0.092,0.0297,0.141,"2021-06-22 15:45:00","2021-06-22 20:15:00",0.8544,"FALSE",-810,2.6022
"12","411-1-1","CS1",88,7,16.5,1.56,0.0788,1.3,"2021-07-01 15:00:00","2021-07-02 07:15:00",3.9051,"TRUE",-820,100
"13","411-1-1","CS1",89,7,4.5,1.32,0.3689,1.66,"2021-07-02 19:15:00","2021-07-02 23:30:00",1.3573,"FALSE",2.25,13.2693
"14","411-1-1","CS1",90,7,7.5,0.12,0.0187,0.14,"2021-07-03 16:15:00","2021-07-03 23:30:00",1.1762,"FALSE",10.75,8.3746
"15","411-1-1","CS1",91,7,7.25,0.4,0.1076,0.78,"2021-07-09 02:15:00","2021-07-09 09:15:00",1.7603,"FALSE",-820,18.0093
"16","411-1-1","CS1",92,7,5,1.4,0.268,1.34,"2021-07-12 17:00:00","2021-07-12 21:45:00",3.5267,"FALSE",-810,0
"17","411-1-1","CS1",93,7,11,1.48,0.1236,1.36,"2021-07-17 22:45:00","2021-07-18 09:30:00",0.6159,"FALSE",-810,0
"18","411-1-1","CS1",94,7,4.25,1.36,0.1341,0.57,"2021-07-21 18:45:00","2021-07-21 22:45:00",4.449,"TRUE",-810,0
"19","411-1-1","CS1",95,7,12.25,0.12,0.0098,0.12,"2021-08-01 16:15:00","2021-08-02 04:15:00",0.2615,"FALSE",-810,0
"20","411-1-1","CS1",96,7,5,0.52,0.14,0.7,"2021-08-08 03:15:00","2021-08-08 08:00:00",1.2271,"FALSE",-810,0.1933
"21","411-1-1","CS1",97,7,0.75,0.96,0.5067,0.38,"2021-08-09 21:00:00","2021-08-09 21:30:00",0.3041,"FALSE",-810,0.146
"22","411-1-1","CS1",98,7,1.75,0.96,0.2114,0.37,"2021-08-11 00:00:00","2021-08-11 01:30:00",0.2798,"FALSE",-810,0
"23","411-1-1","CS1",99,7,7.25,1.276,0.1383,1.003,"2021-08-18 23:45:00","2021-08-19 06:45:00",0.5974,"FALSE",1.5,9.3546
"24","411-1-1","CS1",100,7,4,0.06,0.027,0.108,"2021-08-20 11:15:00","2021-08-20 15:00:00",0.4824,"FALSE",-810,0
"25","411-1-1","CS1",101,7,16.25,0.316,0.0751,1.22,"2021-08-21 20:15:00","2021-08-22 12:15:00",2.0049,"FALSE",9.25,50.2281
"26","411-1-1","CS1",102,7,17.25,0.28,0.0275,0.474,"2021-08-23 03:15:00","2021-08-23 20:15:00",1.3624,"FALSE",-810,2.8965
"27","411-1-1","CS1",103,7,2.5,0.52,0.0792,0.198,"2021-08-27 16:15:00","2021-08-27 18:30:00",1.229,"FALSE",1.25,26.5658
"28","411-1-1","CS1",104,7,11.25,0.532,0.0484,0.545,"2021-08-28 06:30:00","2021-08-28 17:30:00",1.229,"FALSE",1.25,25.4167
"29","411-1-1","CS1",105,7,3.25,0.628,0.1317,0.428,"2021-09-01 08:00:00","2021-09-01 11:00:00",3.0725,"FALSE",3.5,76.6604
"30","411-1-1","CS1",106,7,8.25,2.004,0.343,2.83,"2021-09-01 18:45:00","2021-09-02 02:45:00",3.0725,"FALSE",3.5,64.6433
"31","411-1-1","CS1",107,7,13.25,0.188,0.0232,0.307,"2021-09-09 04:00:00","2021-09-09 17:00:00",0.4261,"FALSE",4.5,7.6064
"32","411-1-1","CS1",108,7,3.25,0.316,0.1043,0.339,"2021-09-16 01:15:00","2021-09-16 04:15:00",0.2931,"FALSE",-810,0
