gagename,event_id,eventdatastart_edt,eventdataend_edt,eventduration_hr,eventpeakintensity_inhr,eventavgintensity_inhr,eventdepth_in
7,1,2020-03-03T19:15:00Z,2020-03-04T02:45:00Z,7.75,0.36,0.0335,0.26
7,2,2020-03-06T18:00:00Z,2020-03-07T04:00:00Z,10.25,0.08,0.0312,0.32
7,3,2020-03-13T09:00:00Z,2020-03-13T12:00:00Z,3.25,0.16,0.0923,0.3
7,4,2020-03-19T03:00:00Z,2020-03-19T11:30:00Z,8.75,0.36,0.1154,1.01
7,5,2020-03-23T10:30:00Z,2020-03-23T22:15:00Z,12,0.28,0.065,0.78
7,6,2020-03-28T11:45:00Z,2020-03-29T02:00:00Z,14.5,0.32,0.0697,1.01
7,7,2020-03-30T19:30:00Z,2020-03-30T21:15:00Z,2,0.36,0.07,0.13999999999999999
7,8,2020-04-08T07:00:00Z,2020-04-08T08:45:00Z,2,0.76,0.285,0.5700000000000001
7,9,2020-04-13T03:45:00Z,2020-04-13T20:00:00Z,16.5,0.72,0.1139,1.8800000000000001
7,10,2020-04-21T15:45:00Z,2020-04-21T18:30:00Z,3,0.44,0.05,0.15
7,11,2020-04-24T00:00:00Z,2020-04-24T18:30:00Z,18.75,0.24,0.0512,0.96
7,12,2020-04-26T11:45:00Z,2020-04-27T02:15:00Z,14.75,0.08,0.0115,0.17
7,13,2020-04-30T21:45:00Z,2020-05-01T03:45:00Z,6.25,0.48,0.0608,0.38
7,14,2020-05-08T13:45:00Z,2020-05-09T04:30:00Z,15,2,0.064,0.96
7,15,2020-05-22T18:00:00Z,2020-05-22T20:15:00Z,2.5,0.52,0.204,0.51
7,16,2020-05-23T10:00:00Z,2020-05-23T13:00:00Z,3.25,0.84,0.2,0.65
7,17,2020-06-03T16:15:00Z,2020-06-04T00:45:00Z,8.75,0.788,0.0467,0.40900000000000003
7,18,2020-06-05T03:15:00Z,2020-06-05T08:15:00Z,5.25,0.72,0.1029,0.54
7,19,2020-06-05T20:00:00Z,2020-06-06T06:45:00Z,11,1.52,0.0473,0.52
7,20,2020-06-11T14:15:00Z,2020-06-11T18:15:00Z,4.25,0.2,0.0518,0.22
7,21,2020-06-18T08:45:00Z,2020-06-18T15:15:00Z,6.75,0.72,0.0578,0.39
7,22,2020-06-20T21:00:00Z,2020-06-20T23:15:00Z,2.5,0.2,0.052,0.13
7,23,2020-07-06T16:30:00Z,2020-07-07T00:30:00Z,8.25,2,0.2958,2.44
7,24,2020-07-10T12:30:00Z,2020-07-11T02:00:00Z,13.75,1.36,0.2153,2.96
7,25,2020-07-13T04:00:00Z,2020-07-13T05:30:00Z,1.75,0.24,0.0571,0.1
7,26,2020-07-22T22:15:00Z,2020-07-23T00:45:00Z,2.75,0.6,0.1382,0.38
7,27,2020-07-23T13:00:00Z,2020-07-23T13:30:00Z,0.75,0.56,0.2667,0.2
7,28,2020-07-24T04:00:00Z,2020-07-24T19:45:00Z,16,1.36,0.1456,2.33
7,29,2020-08-04T05:45:00Z,2020-08-04T18:00:00Z,12.5,1.12,0.1624,2.0300000000000002
7,30,2020-08-06T11:45:00Z,2020-08-06T13:45:00Z,2.25,0.24,0.1289,0.29
7,31,2020-08-07T22:30:00Z,2020-08-08T01:15:00Z,3,0.24,0.1,0.3
7,32,2020-08-12T15:45:00Z,2020-08-12T19:45:00Z,4.25,2.72,0.2024,0.8600000000000001
7,33,2020-08-13T19:30:00Z,2020-08-14T04:00:00Z,8.75,0.24,0.0171,0.15
7,34,2020-08-16T07:30:00Z,2020-08-16T15:30:00Z,8.25,0.16,0.0545,0.45
7,35,2020-08-23T17:15:00Z,2020-08-23T18:15:00Z,1.25,0.56,0.208,0.26
7,36,2020-08-28T20:45:00Z,2020-08-28T22:15:00Z,1.75,2.76,0.4686,0.82
7,37,2020-09-10T04:00:00Z,2020-09-10T08:30:00Z,4.75,1.16,0.1432,0.6799999999999999
7,38,2020-09-10T17:15:00Z,2020-09-11T01:45:00Z,8.75,0.28,0.0297,0.26
7,39,2020-09-26T09:00:00Z,2020-09-26T19:15:00Z,10.5,0.16,0.0133,0.14
7,40,2020-09-28T03:45:00Z,2020-09-28T05:45:00Z,2.25,0.36,0.1467,0.33
7,41,2020-09-29T19:15:00Z,2020-09-30T10:00:00Z,15,1,0.154,2.31
7,42,2020-10-02T03:15:00Z,2020-10-02T14:00:00Z,11,0.16,0.0145,0.16
7,43,2020-10-11T23:00:00Z,2020-10-12T14:45:00Z,16,0.2,0.0737,1.18
7,44,2020-10-16T12:45:00Z,2020-10-16T20:45:00Z,8.25,0.32,0.1236,1.02
7,45,2020-10-29T08:30:00Z,2020-10-30T15:15:00Z,31,0.52,0.0723,2.24
7,46,2020-11-01T16:30:00Z,2020-11-01T23:15:00Z,7,0.28,0.0743,0.52
7,47,2020-11-11T18:00:00Z,2020-11-12T13:45:00Z,20,0.92,0.0745,1.49
7,48,2020-11-15T23:45:00Z,2020-11-16T01:15:00Z,1.75,0.72,0.16,0.27999999999999997
7,49,2020-11-23T07:30:00Z,2020-11-23T12:00:00Z,4.75,0.2,0.0421,0.2
7,50,2020-11-26T06:45:00Z,2020-11-26T15:15:00Z,8.75,0.52,0.0686,0.6
7,51,2020-11-30T11:30:00Z,2020-12-01T00:15:00Z,13,0.6,0.0946,1.23
7,52,2020-12-04T15:30:00Z,2020-12-05T14:30:00Z,23.25,0.32,0.0426,0.99
7,53,2020-12-14T13:30:00Z,2020-12-14T20:00:00Z,6.75,0.16,0.0874,0.59
7,54,2020-12-24T23:30:00Z,2020-12-25T14:30:00Z,15.25,0.72,0.118,1.8
7,55,2021-01-01T18:45:00Z,2021-01-02T08:00:00Z,13.5,0.28,0.0607,0.8200000000000001
7,56,2021-01-03T22:00:00Z,2021-01-04T10:30:00Z,12.75,0.08,0.0078,0.1
7,57,2021-01-16T04:15:00Z,2021-01-16T13:30:00Z,9.5,0.08,0.0284,0.27
7,58,2021-02-01T18:00:00Z,2021-02-03T07:15:00Z,37.5,0.084,0.0233,0.873
7,59,2021-02-07T12:30:00Z,2021-02-07T20:00:00Z,7.75,0.084,0.0551,0.427
7,60,2021-02-16T05:30:00Z,2021-02-16T11:45:00Z,6.5,0.48,0.1338,0.87
