gagename,dtime_edt,rainfall_in
7,2020-03-03T04:15:00Z,0.02
7,2020-03-03T04:30:00Z,0.01
7,2020-03-03T04:45:00Z,0.02
7,2020-03-03T19:15:00Z,0.02
7,2020-03-03T19:45:00Z,0.01
7,2020-03-03T20:00:00Z,0.02
7,2020-03-03T20:15:00Z,0.01
7,2020-03-03T20:30:00Z,0.01
7,2020-03-03T20:45:00Z,0.01
7,2020-03-04T02:00:00Z,0.04
7,2020-03-04T02:15:00Z,0.02
7,2020-03-04T02:30:00Z,0.09
7,2020-03-04T02:45:00Z,0.03
7,2020-03-06T18:00:00Z,0.01
7,2020-03-06T18:15:00Z,0.02
7,2020-03-06T18:30:00Z,0.01
7,2020-03-06T19:00:00Z,0.01
7,2020-03-06T19:45:00Z,0.01
7,2020-03-06T20:00:00Z,0.01
7,2020-03-06T20:15:00Z,0.01
7,2020-03-06T20:30:00Z,0.01
7,2020-03-06T20:45:00Z,0.02
7,2020-03-06T21:00:00Z,0.02
7,2020-03-06T21:15:00Z,0.01
7,2020-03-06T21:30:00Z,0.02
7,2020-03-06T21:45:00Z,0.02
7,2020-03-06T22:00:00Z,0.02
7,2020-03-06T22:15:00Z,0.01
7,2020-03-06T22:30:00Z,0.01
7,2020-03-06T23:00:00Z,0.01
7,2020-03-06T23:15:00Z,0.01
7,2020-03-06T23:30:00Z,0.01
7,2020-03-06T23:45:00Z,0.01
7,2020-03-07T00:00:00Z,0.01
7,2020-03-07T00:15:00Z,0.01
7,2020-03-07T01:00:00Z,0.01
7,2020-03-07T01:30:00Z,0.01
7,2020-03-07T03:15:00Z,0.01
7,2020-03-07T04:00:00Z,0.01
7,2020-03-13T09:00:00Z,0.01
7,2020-03-13T09:15:00Z,0.03
7,2020-03-13T09:30:00Z,0.04
7,2020-03-13T09:45:00Z,0.03
7,2020-03-13T10:00:00Z,0.04
7,2020-03-13T10:15:00Z,0.03
7,2020-03-13T10:30:00Z,0.02
7,2020-03-13T10:45:00Z,0.01
7,2020-03-13T11:00:00Z,0.02
7,2020-03-13T11:15:00Z,0.02
7,2020-03-13T11:30:00Z,0.03
7,2020-03-13T11:45:00Z,0.01
7,2020-03-13T12:00:00Z,0.01
7,2020-03-15T06:00:00Z,0.01
7,2020-03-15T06:30:00Z,0.01
7,2020-03-15T08:45:00Z,0.01
7,2020-03-17T10:45:00Z,0.01
7,2020-03-17T11:00:00Z,0.01
7,2020-03-17T11:30:00Z,0.01
7,2020-03-17T11:45:00Z,0.01
7,2020-03-17T14:00:00Z,0.01
7,2020-03-19T03:00:00Z,0.01
7,2020-03-19T03:15:00Z,0.01
7,2020-03-19T03:30:00Z,0.01
7,2020-03-19T03:45:00Z,0.01
7,2020-03-19T04:15:00Z,0.01
7,2020-03-19T04:30:00Z,0.01
7,2020-03-19T04:45:00Z,0.02
7,2020-03-19T05:00:00Z,0.01
7,2020-03-19T05:15:00Z,0.03
7,2020-03-19T05:30:00Z,0.04
7,2020-03-19T05:45:00Z,0.04
7,2020-03-19T06:00:00Z,0.04
7,2020-03-19T06:15:00Z,0.04
7,2020-03-19T06:30:00Z,0.04
7,2020-03-19T06:45:00Z,0.04
7,2020-03-19T07:00:00Z,0.06
7,2020-03-19T07:15:00Z,0.04
7,2020-03-19T07:30:00Z,0.05
7,2020-03-19T07:45:00Z,0.06
7,2020-03-19T08:00:00Z,0.07
7,2020-03-19T08:15:00Z,0.09
7,2020-03-19T08:30:00Z,0.05
7,2020-03-19T08:45:00Z,0.07
7,2020-03-19T09:00:00Z,0.05
7,2020-03-19T09:15:00Z,0.05
7,2020-03-19T09:30:00Z,0.02
7,2020-03-19T09:45:00Z,0.01
7,2020-03-19T10:00:00Z,0.01
7,2020-03-19T10:45:00Z,0.01
7,2020-03-19T11:30:00Z,0.01
7,2020-03-23T10:30:00Z,0.01
7,2020-03-23T10:45:00Z,0.01
7,2020-03-23T11:15:00Z,0.01
7,2020-03-23T11:45:00Z,0.01
7,2020-03-23T12:30:00Z,0.01
7,2020-03-23T13:00:00Z,0.01
7,2020-03-23T13:30:00Z,0.01
7,2020-03-23T13:45:00Z,0.01
7,2020-03-23T14:00:00Z,0.02
7,2020-03-23T14:15:00Z,0.01
7,2020-03-23T14:45:00Z,0.02
7,2020-03-23T15:00:00Z,0.02
7,2020-03-23T15:15:00Z,0.01
7,2020-03-23T15:30:00Z,0.07
7,2020-03-23T15:45:00Z,0.02
7,2020-03-23T16:15:00Z,0.01
7,2020-03-23T16:30:00Z,0.03
7,2020-03-23T16:45:00Z,0.03
7,2020-03-23T17:00:00Z,0.01
7,2020-03-23T17:15:00Z,0.02
7,2020-03-23T17:45:00Z,0.01
7,2020-03-23T18:00:00Z,0.02
7,2020-03-23T18:15:00Z,0.01
7,2020-03-23T18:30:00Z,0.02
7,2020-03-23T18:45:00Z,0.01
7,2020-03-23T19:00:00Z,0.07
7,2020-03-23T19:15:00Z,0.05
7,2020-03-23T19:30:00Z,0.02
7,2020-03-23T19:45:00Z,0.01
7,2020-03-23T20:30:00Z,0.05
7,2020-03-23T20:45:00Z,0.04
7,2020-03-23T21:00:00Z,0.04
7,2020-03-23T21:15:00Z,0.03
7,2020-03-23T21:30:00Z,0.01
7,2020-03-23T21:45:00Z,0.01
7,2020-03-23T22:00:00Z,0.02
7,2020-03-23T22:15:00Z,0.01
7,2020-03-28T11:45:00Z,0.01
7,2020-03-28T13:00:00Z,0.01
7,2020-03-28T13:15:00Z,0.07
7,2020-03-28T13:30:00Z,0.08
7,2020-03-28T13:45:00Z,0.04
7,2020-03-28T14:00:00Z,0.01
7,2020-03-28T14:15:00Z,0.01
7,2020-03-28T14:45:00Z,0.04
7,2020-03-28T15:00:00Z,0.01
7,2020-03-28T15:15:00Z,0.02
7,2020-03-28T15:30:00Z,0.05
7,2020-03-28T15:45:00Z,0.04
7,2020-03-28T16:00:00Z,0.03
7,2020-03-28T16:15:00Z,0.06
7,2020-03-28T16:30:00Z,0.07
7,2020-03-28T16:45:00Z,0.06
7,2020-03-28T17:00:00Z,0.04
7,2020-03-28T17:15:00Z,0.03
7,2020-03-28T17:30:00Z,0.06
7,2020-03-28T17:45:00Z,0.04
7,2020-03-28T18:00:00Z,0.01
7,2020-03-28T18:15:00Z,0.02
7,2020-03-28T18:45:00Z,0.01
7,2020-03-28T19:30:00Z,0.01
7,2020-03-28T20:45:00Z,0.01
7,2020-03-28T21:00:00Z,0.01
7,2020-03-28T23:15:00Z,0.01
7,2020-03-28T23:30:00Z,0.01
7,2020-03-29T00:00:00Z,0.01
7,2020-03-29T00:15:00Z,0.01
7,2020-03-29T00:45:00Z,0.01
7,2020-03-29T01:00:00Z,0.01
7,2020-03-29T01:15:00Z,0.03
7,2020-03-29T01:30:00Z,0.04
7,2020-03-29T01:45:00Z,0.02
7,2020-03-29T02:00:00Z,0.01
7,2020-03-30T19:30:00Z,0.01
7,2020-03-30T19:45:00Z,0.01
7,2020-03-30T21:00:00Z,0.09
7,2020-03-30T21:15:00Z,0.03
7,2020-03-31T04:45:00Z,0.01
7,2020-04-06T06:30:00Z,0.01
7,2020-04-06T07:00:00Z,0.01
7,2020-04-08T07:00:00Z,0.19
7,2020-04-08T07:15:00Z,0.03
7,2020-04-08T07:30:00Z,0.05
7,2020-04-08T07:45:00Z,0.02
7,2020-04-08T08:00:00Z,0.07
7,2020-04-08T08:15:00Z,0.06
7,2020-04-08T08:30:00Z,0.11
7,2020-04-08T08:45:00Z,0.04
7,2020-04-08T21:30:00Z,0.01
7,2020-04-09T12:45:00Z,0.01
7,2020-04-09T17:30:00Z,0.01
7,2020-04-09T17:45:00Z,0.01
7,2020-04-13T03:45:00Z,0.01
7,2020-04-13T04:15:00Z,0.02
7,2020-04-13T04:30:00Z,0.02
7,2020-04-13T04:45:00Z,0.03
7,2020-04-13T05:00:00Z,0.03
7,2020-04-13T05:15:00Z,0.02
7,2020-04-13T05:30:00Z,0.01
7,2020-04-13T05:45:00Z,0.02
7,2020-04-13T06:00:00Z,0.02
7,2020-04-13T06:15:00Z,0.01
7,2020-04-13T06:30:00Z,0.02
7,2020-04-13T06:45:00Z,0.02
7,2020-04-13T07:00:00Z,0.02
7,2020-04-13T07:15:00Z,0.03
7,2020-04-13T07:30:00Z,0.01
7,2020-04-13T07:45:00Z,0.04
7,2020-04-13T08:00:00Z,0.01
